category_id,group_id,name,abbreviation,published_on,is_supplemental
3,24722,ME: 30th Celebration,30C,2026-09-16T00:00:00,False
3,24688,ME05: Pitch Black,PBL,2026-07-17T00:00:00,False
3,24655,ME04: Chaos Rising,CRI,2026-05-22T00:00:00,False
3,24584,First Partner Collection 2026,,2026-03-30T00:00:00,False
3,24587,ME03: Perfect Order,POR,2026-03-27T00:00:00,False
3,24541,ME: Ascended Heroes,ASC,2026-01-30T00:00:00,False
3,24529,Player Placement Trainer Promos,,2026-01-02T00:00:00,False
3,24448,ME02: Phantasmal Flames,PFL,2025-11-14T00:00:00,False
3,24451,ME: Mega Evolution Promo,MEP,2025-09-26T00:00:00,False
3,24380,ME01: Mega Evolution,MEG,2025-09-26T00:00:00,False
3,24461,MEE: Mega Evolution Energies,MEE,2025-09-26T00:00:00,False
3,24325,SV: Black Bolt,BLK,2025-07-18T00:00:00,False
3,24326,SV: White Flare,WHT,2025-07-18T00:00:00,False
3,24269,SV10: Destined Rivals,DRI,2025-05-30T00:00:00,False
3,24073,SV09: Journey Together,JTG,2025-03-28T00:00:00,False
3,24163,McDonald's Promos 2024,M24,2025-01-21T00:00:00,False
3,23821,SV: Prismatic Evolutions,PRE,2025-01-17T00:00:00,False
3,23651,SV08: Surging Sparks,SSP,2024-11-08T00:00:00,False
3,23537,SV07: Stellar Crown,SCR,2024-09-13T00:00:00,False
3,23561,Trick or Trade BOOster Bundle 2024,TTBB24,2024-08-30T00:00:00,False
3,23529,SV: Shrouded Fable,SFA,2024-08-02T00:00:00,False
3,23520,Battle Academy 2024,BA24,2024-06-21T00:00:00,False
3,23473,SV06: Twilight Masquerade,TWM,2024-05-24T00:00:00,False
3,23381,SV05: Temporal Forces,TEF,2024-03-22T00:00:00,False
3,23353,SV: Paldean Fates,PAF,2024-01-26T00:00:00,False
3,23323,Trading Card Game Classic,CL,2023-11-17T00:00:00,False
3,23286,SV04: Paradox Rift,PAR,2023-11-03T00:00:00,False
3,23330,My First Battle,,2023-09-29T00:00:00,False
3,23237,SV: Scarlet & Violet 151,MEW,2023-09-22T00:00:00,False
3,23306,McDonald's Promos 2023,M23,2023-09-12T00:00:00,False
3,23266,Trick or Trade BOOster Bundle 2023,TTBB23,2023-09-01T00:00:00,False
3,23228,SV03: Obsidian Flames,OBF,2023-08-11T00:00:00,False
3,23120,SV02: Paldea Evolved,PAL,2023-06-09T00:00:00,False
3,22872,SV: Scarlet & Violet Promo Cards,SVP,2023-03-31T00:00:00,False
3,22873,SV01: Scarlet & Violet Base Set,SVI,2023-03-31T00:00:00,False
3,24382,SVE: Scarlet & Violet Energies,SVE,2023-03-31T00:00:00,False
3,17688,SWSH: Crown Zenith,CRZ,2023-01-20T00:00:00,False
3,17689,SWSH: Crown Zenith: Galarian Gallery,CRZ:GG,2023-01-20T00:00:00,False
3,22880,Prize Pack Series Cards,,2022-11-30T00:00:00,False
3,3170,SWSH12: Silver Tempest,SWSH12,2022-11-11T00:00:00,False
3,17674,SWSH12: Silver Tempest Trainer Gallery,SWSH12: TG,2022-11-11T00:00:00,False
3,3118,SWSH11: Lost Origin,SWSH11,2022-09-09T00:00:00,False
3,3172,SWSH11: Lost Origin Trainer Gallery,SWSH11: TG,2022-09-09T00:00:00,False
3,3179,Trick or Trade BOOster Bundle,TTBB,2022-09-01T00:00:00,False
3,3150,McDonald's Promos 2022,M22,2022-08-03T00:00:00,False
3,3064,Pokemon GO,PGO,2022-07-01T00:00:00,False
3,3040,SWSH10: Astral Radiance,SWSH10,2022-05-27T00:00:00,False
3,3068,SWSH10: Astral Radiance Trainer Gallery,SWSH10:TG,2022-05-27T00:00:00,False
3,3051,Battle Academy 2022,BA22,2022-04-01T00:00:00,False
3,2948,SWSH09: Brilliant Stars,SWSH09,2022-02-25T00:00:00,False
3,3020,SWSH09: Brilliant Stars Trainer Gallery,SWSH09:TG,2022-02-25T00:00:00,False
3,2906,SWSH08: Fusion Strike,SWSH08,2021-11-12T00:00:00,False
3,2867,Celebrations,CLB,2021-10-08T00:00:00,False
3,2931,Celebrations: Classic Collection,CCC,2021-10-08T00:00:00,False
3,2848,SWSH07: Evolving Skies,SWSH07,2021-08-27T00:00:00,False
3,2807,SWSH06: Chilling Reign,SWSH06,2021-06-18T00:00:00,False
3,2765,SWSH05: Battle Styles,SWSH05,2021-03-19T00:00:00,False
3,2754,Shining Fates,SHF,2021-02-19T00:00:00,False
3,2781,Shining Fates: Shiny Vault,SHFSV,2021-02-19T00:00:00,False
3,2782,McDonald's 25th Anniversary Promos,M21,2021-02-09T00:00:00,True
3,2701,SWSH04: Vivid Voltage,SWSH04,2020-11-13T00:00:00,False
3,2685,Champion's Path,CHP,2020-09-25T00:00:00,False
3,2675,SWSH03: Darkness Ablaze,SWSH03,2020-08-14T00:00:00,False
3,2686,Battle Academy,BTA,2020-07-31T00:00:00,True
3,2626,SWSH02: Rebel Clash,SWSH02,2020-05-01T00:00:00,False
3,2585,SWSH01: Sword & Shield Base Set,SWSH01,2020-02-07T00:00:00,False
